1855;Моделирование энерго- и ресурсосберегающих процессов в ХТ, НХ и БТ;2013-11-20 15:53:05.417
1757;Монтаж и наладка приборов автоматизации;2013-01-31 12:38:38.013
1856;Монтаж оборудования химической промышленности;2013-11-20 16:58:29.710
1819;Мультимедийные технологии;2013-04-23 15:35:06.127
1604;Надёжность и диагностика технологических систем;2012-05-14 15:06:51.653
1732;Надёжность и качество программных систем;2013-01-18 11:45:06.820
1504;Надёжность систем управления;2012-05-14 15:05:15.030
1505;Надёжность технических систем;2012-05-14 15:05:15.030
1503;Надёжность технических систем и оборудования;2012-05-14 15:05:15.013
1502;Надёжность, эргономика и качество АСОИУ;2012-05-14 15:05:15.013
1888;Налоги и налогообложение;2013-12-19 10:08:03.373
1267;Налогообложение;2012-05-14 15:05:00.420
1266;Налогообложение предприятий;2012-05-14 15:05:00.420
1616;Наногетерогенные эластомерные материалы;2012-05-14 15:07:59.280
1608;Нанотехнологии в машиностроении;2012-05-14 15:06:52.560
1456;Насосы и компрессоры;2012-05-14 15:05:10.123
1889;Научная организация труда;2013-12-19 10:11:30.950
1942;Научные исследования в области конструкторско-технологического обеспечения машиностроительных производств;2014-04-22 14:19:46.723
1641;Научный семинар по проблемам автоматизированного управления;2012-05-15 11:18:44.780
1293;Начертательная геометрия;2012-05-14 15:05:01.373
1681;Начертательная геометрия и инженерная графика;2012-12-11 15:57:37.970
1322;Нормативы по защите окружающей среды;2012-05-14 15:05:02.920
1890;Нормирование труда и организация заработной платы;2013-12-19 10:16:26.140
1549;Оборудование и проектирование химических производств;2012-05-14 15:05:45.140
1779;Оборудование машиностроительных производств;2013-03-19 15:10:06.297
1562;Оборудование химических производств;2012-05-14 15:06:05.560
1709;Оборудование химических процессов;2012-12-24 15:01:43.710
1345;Общая и неорганическая химия;2012-05-14 15:05:03.797
1187;Общая теория измерений;2012-05-14 15:00:02.607
1891;Общая теория рисков;2013-12-19 10:19:54.043
1429;Общая технология полимерных материалов;2012-05-14 15:05:07.000
1383;Общая химическая технология;2012-05-14 15:05:05.077
1422;Общая химическая технология и основы биотехнологии;2012-05-14 15:05:06.577
1436;Общая химическая технология полимеров;2012-05-14 15:05:07.873
1423;Общая химическая технология. Инженерная химия;2012-05-14 15:05:06.593
